 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96
Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), C minor (3b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b)
A major (3#), D minor (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), A minor (0), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), C major (0), F major (1b), F major (1b), C major (0), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), F minor (4b), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), C major (0), F major (1b), C major (0), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), C major (0), Bb major (2b), Bb major (2b), F major (1b), C major (0), Bb major (2b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), C minor (3b), C major (0), F major (1b), F minor (4b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), D minor (1b), A minor (0), C major (0), C major (0), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), C major (0), F major (1b), C major (0), F major (1b), F major (1b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), F minor (4b), C minor (3b), C major (0), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), C major (0), F major (1b), F major (1b), F minor (4b)
C minor (3b), F minor (4b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Eb major (3b), Eb major (3b), C minor (3b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b)
F# minor (3#), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), F minor (4b), C minor (3b), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), C minor (3b), C major (0), F major (1b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), C major (0), F major (1b), F major (1b), F minor (4b)
Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), F minor (4b), F minor (4b), F minor (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), F minor (4b), Bb minor (5b), Db major (5b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), F minor (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Ab major (4b), F minor (4b), Bb minor (5b), Ab major (4b), Eb major (3b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Ab major (4b), Ab major (4b), Db major (5b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b)
E major (4#), A minor (0), G minor (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), C major (0), F major (1b), C major (0), F major (1b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b)
F minor (4b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b)
C# minor (4#), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b)
Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Eb major (3b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Eb minor (6b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b)
B major (5#), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), F minor (4b), F major (1b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b)
Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b)
G# minor (5#), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), F minor (4b), F major (1b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b)
Gb major (6b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Eb major (3b), Eb minor (6b), Gb major (6b), Gb major (6b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Gb major (6b), Gb major (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Eb major (3b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b)
F# major (6#), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), F minor (4b), C minor (3b), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), C minor (3b), C major (0), F major (1b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b)
Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b)
D# minor (6#), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), F minor (4b), C minor (3b), C minor (3b), Eb major (3b), Bb minor (5b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), F major (1b), F minor (4b), C minor (3b), F minor (4b), C major (0), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Bb minor (5b), C minor (3b), C major (0), F major (1b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb major (2b), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb major (2b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), F major (1b), F minor (4b)
Cb major (7b), Gb major (6b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Gb major (6b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Bb minor (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb minor (6b), Gb major (6b), Gb major (6b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Bb minor (5b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Db major (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Db major (5b), Gb major (6b), Gb major (6b), Eb minor (6b), Eb minor (6b), Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), F minor (4b), Bb minor (5b), F minor (4b), Bb minor (5b), Db major (5b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Db major (5b), Db major (5b), Ab major (4b), Eb major (3b), Eb minor (6b), Gb major (6b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Db major (5b), Db major (5b), Bb minor (5b), Db major (5b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b)
