 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
F# minor (3#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), C# major (7#), C# minor (4#), G# minor (5#), C# minor (4#), C# minor (4#), C# minor (4#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), F# major (6#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), F# major (6#), F# minor (3#)
Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), Eb major (3b), C minor (3b), Eb major (3b), Ab major (4b), Ab major (4b)
E major (4#), E minor (1#), E major (4#), E minor (1#), E major (4#), E minor (1#), E major (4#), C# major (7#), C# minor (4#), C# major (7#), C# major (7#), C# major (7#), C# minor (4#), G# minor (5#), C# minor (4#), C# minor (4#), E major (4#), E minor (1#), E major (4#), E minor (1#), E major (4#), E minor (1#), E major (4#), C# major (7#), C# minor (4#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), B major (5#)
F minor (4b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
C# minor (4#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# minor (4#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# minor (4#), G# minor (5#), C# minor (4#), C# minor (4#), C# minor (4#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# minor (4#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), F# minor (3#), F# minor (3#), F# minor (3#), F# minor (3#), G# minor (5#), C# minor (4#)
Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Db major (5b), Gb major (6b), Gb major (6b), Gb major (6b), Db major (5b), Ab major (4b), Ab major (4b)
B major (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), C# major (7#), C# minor (4#), G# minor (5#), G# minor (5#), C# minor (4#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), B major (5#)
Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), F minor (4b), C minor (3b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b)
G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# minor (4#), C# major (7#), C# minor (4#), C# major (7#), C# major (7#), C# major (7#), C# minor (4#), G# minor (5#), G# minor (5#), C# minor (4#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# minor (4#), C# major (7#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#)
Gb major (6b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Gb major (6b), Gb major (6b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Db major (5b), Ab major (4b), Db major (5b), Db major (5b), Db major (5b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Db major (5b), Ab major (4b), Db major (5b)
F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b)
D# minor (6#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# major (7#), A# minor (7#), D# minor (6#), F# major (6#), C# major (7#), A# minor (7#), G# minor (5#), G# minor (5#), C# minor (4#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), G# minor (5#), C# major (7#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), G# minor (5#)
Cb major (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Db major (5b), Gb major (6b), Gb major (6b), Db major (5b), Db major (5b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Ab minor (7b), Ab major (4b), Db major (5b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Gb major (6b), Ab major (4b), Ab minor (7b)
C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), F# major (6#), C# major (7#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#), F# major (6#)
Ab minor (7b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Ab major (4b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Ab major (4b)
A# minor (7#), G# minor (5#), D# minor (6#), G# minor (5#), D# minor (6#), F# major (6#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), C# major (7#), F# major (6#), C# major (7#), C# major (7#), A# minor (7#), G# minor (5#), D# minor (6#), G# minor (5#), D# minor (6#), F# major (6#), C# major (7#), C# major (7#), A# minor (7#), A# minor (7#), A# minor (7#), D# minor (6#), D# minor (6#), D# minor (6#), D# minor (6#), G# minor (5#), D# minor (6#)
