 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48
Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
A major (3#), C major (0), C minor (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), D minor (1b), C minor (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), C major (0), C major (0), C major (0), C minor (3b), C major (0), C minor (3b), Eb major (3b), C minor (3b), D minor (1b), G minor (2b), Bb major (2b), Eb major (3b), C major (0), C major (0), C major (0), C minor (3b), C major (0), F major (1b), F minor (4b), C minor (3b), C major (0), Eb major (3b), Eb major (3b), C minor (3b), C major (0), C major (0), C major (0), F major (1b), C major (0), C minor (3b)
C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
F# minor (3#), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), C major (0), C major (0), F major (1b), F major (1b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), C major (0), C minor (3b)
Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
E major (4#), A minor (0), C minor (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), G major (1#), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C major (0), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b)
F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), G minor (2b), Bb minor (5b), F minor (4b), Bb minor (5b), Eb minor (6b), Eb major (3b), C minor (3b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), C minor (3b), Bb minor (5b), Eb minor (6b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), Bb major (2b), Eb major (3b)
C# minor (4#), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), C major (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b)
Db major (5b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), Bb major (2b), Bb minor (5b), Bb major (2b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b)
B major (5#), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), D minor (1b), G minor (2b), Bb major (2b), F major (1b), F major (1b), D minor (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), D minor (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b)
Bb minor (5b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Bb minor (5b), F minor (4b), C minor (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb minor (5b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), Bb minor (5b), Eb minor (6b), F minor (4b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb major (3b), Bb major (2b), Bb minor (5b), Eb minor (6b), Bb minor (5b), F minor (4b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), Eb minor (6b), F minor (4b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b)
G# minor (5#), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), D minor (1b), G minor (2b), Bb major (2b), F major (1b), F major (1b), D minor (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), D minor (1b), F major (1b), Bb major (2b), F major (1b), F major (1b), F major (1b), Bb major (2b)
Gb major (6b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb minor (6b), Bb minor (5b), Db major (5b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb minor (5b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b)
F# major (6#), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), F major (1b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b)
Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Bb minor (5b), Bb minor (5b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Ab major (4b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb major (3b), Bb minor (5b), Bb minor (5b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b)
D# minor (6#), F major (1b), F major (1b), F major (1b), F major (1b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), F major (1b), Bb major (2b), Eb major (3b), Eb major (3b), C minor (3b), C minor (3b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), C minor (3b), Eb major (3b), Eb major (3b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), Eb major (3b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), C minor (3b), Eb major (3b), Eb major (3b)
Cb major (7b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b)
C# major (7#), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), C major (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b)
Ab minor (7b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Ab major (4b), Eb major (3b), C minor (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Eb major (3b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Eb major (3b), Eb minor (6b), Eb major (3b), Eb minor (6b), Ab minor (7b), Eb minor (6b), Eb major (3b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb minor (6b), Eb minor (6b), Bb minor (5b), F minor (4b), Ab major (4b), Ab major (4b), F minor (4b), Ab major (4b), Ab minor (7b), Eb minor (6b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb major (3b), Eb minor (6b)
A# minor (7#), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), C major (0), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), Eb major (3b), C minor (3b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F minor (4b), F minor (4b), C minor (3b), C minor (3b), G minor (2b), G minor (2b), Bb major (2b), Bb major (2b), Bb major (2b)
