 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194
C locrian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F major (1b), C major (0), A major (3#), A minor (0), C minor (3b), C minor (3b), A minor (0), A minor (0), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Eb phrygian (3b), Eb phrygian (3b), F minor (4b), C major (0), C major (0), F major (1b), Bb major (2b), F minor (4b), F major (1b), Bb major (2b), Eb major (3b), Bb major (2b), G minor mel (2b), D minor mel (1b), D minor mel (1b), G minor mel (2b), G minor mel (2b), D minor mel (1b), D major (2#), D minor mel (1b), D minor mel (1b), F major (1b), F major (1b), F minor (4b), C minor (3b), C minor (3b), F minor (4b), D major (2#), G minor (2b), G major (1#), D minor (1b), Bb major (2b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), Eb phrygian (3b), C minor (3b), F minor (4b), C major (0), A minor mel (0), C major (0), C minor (3b), F minor (4b), F major (1b), C major (0), C minor (3b), G minor (2b), G minor mel (2b), Bb major (2b), F major (1b), Bb major (2b), C major (0), C major (0), G major (1#), E minor mel (1#), A minor mel (0), G major (1#), F major (1b), F minor (4b), C minor (3b), F minor (4b), F minor (4b), Bb minor (5b), Bb major (2b), G major (1#), D minor (1b), F major (1b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), F minor (4b), Ab aeolian (4b), F major (1b), C major (0), C major (0), Bb major (2b), Bb major (2b), Eb major (3b), Bb major (2b), Eb major (3b), F major (1b), C major (0), C major (0), F major (1b), Bb major (2b), G minor mel (2b), D minor mel (1b), D major (2#), E minor (1#), G major (1#), G major (1#), C major (0), F minor (4b), Bb major (2b), F major (1b), Ab aeolian (4b), Gb aeolian (6b), Bb major (2b), G major (1#), C minor (3b), Eb major (3b), Ab major (4b), F minor (4b), F major (1b), F major (1b), Bb major (2b), Eb major (3b), F minor (4b), C major (0), F major (1b), F major (1b), Bb major (2b), F minor (4b), F major (1b), Bb major (2b), Eb major (3b), Bb major (2b), F major (1b), C major (0), F major (1b), F major (1b), F major blues (1b), C major (0), A minor mel (0), E minor mel (1#), G major (1#), C major (0), F minor (4b), F major (1b), F major (1b), F minor (4b), F minor (4b), D major (2#), Bb major (2b), G major (1#), F major (1b), Bb major (2b), Eb major (3b), F major (1b), F minor (4b), F minor (4b), Eb phrygian (3b), Eb phrygian (3b), F minor (4b), C major (0), C major (0), F major (1b), F major (1b), F minor (4b), F minor mel (4b), Eb phrygian (3b), C minor (3b), G minor (2b), D minor (1b), D minor mel (1b), D minor mel (1b), F major (1b), G minor mel (2b), D minor mel (1b), D major (2#), D minor mel (1b), A minor mel (0), F major (1b), F minor (4b), F minor (4b), Ab aeolian (4b), Ab aeolian (4b), Ab aeolian (4b), Gb aeolian (6b), Bb major (2b), G major (1#), F major (1b), Bb major (2b), Eb major (3b), Eb major (3b), Eb major (3b), F minor (4b), F minor (4b), F minor (4b), F minor (4b), F minor (4b)
G major (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), E minor (1#), E major (4#), A major (3#), C minor (3b), C minor (3b), C minor (3b), D minor (1b), F phrygian (1b), C minor (3b), F minor (4b), G major (1#), G major (1#), G major (1#), G minor (2b), C minor (3b), F phrygian (1b), F phrygian (1b), C minor (3b), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), E minor mel (1#), B minor mel (2#), E minor mel (1#), G major (1#), C major (0), Bb phrygian (2b), C minor (3b), C minor (3b), F minor (4b), D major (2#), E minor (1#), G major (1#), D minor (1b), F phrygian (1b), C minor (3b), C minor (3b), C minor (3b), D minor (1b), F phrygian (1b), C minor (3b), F minor (4b), C major (0), G major (1#), G major (1#), G minor (2b), C minor (3b), F major (1b), C major (0), C minor (3b), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G major (1#), G major (1#), E minor mel (1#), E minor mel (1#), A minor mel (0), G major (1#), C major (0), Bb phrygian (2b), C minor (3b), A minor (0), A minor (0), E minor mel (1#), C major (0), G major (1#), D minor (1b), E minor (1#), G minor (2b), G minor (2b), C minor (3b), Bb phrygian (2b), G minor (2b), A minor (0), F# minor mel (3#), C major (0), G major (1#), G major (1#), G minor (2b), F phrygian (1b), G minor (2b), G minor (2b), C minor (3b), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), E minor mel (1#), E minor mel (1#), G major (1#), G major (1#), C major (0), Bb phrygian (2b), C minor (3b), A minor (0), F# minor mel (3#), B minor (2#), A minor (0), G major (1#), C minor (3b), G minor (2b), Bb phrygian (2b), C minor (3b), C major (0), F major (1b), Bb major (2b), G minor (2b), F minor (4b), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), Bb aeolian (2b), Bb aeolian (2b), Eb aeolian (3b), C major (0), F major (1b), C major (0), G major (1#), G minor (2b), G minor blues (2b), C major (0), A minor mel (0), E minor mel (1#), G major (1#), C major (0), C minor (3b), F major (1b), C major (0), A minor (0), G major (1#), G lydian (1#), Eb dorian (3b), C lydian (0), Eb dorian (3b), Eb dorian (3b), G minor (2b), G minor mel (2b), C minor (3b), F minor (4b), Bb major (2b), C minor (3b), F minor (4b), C major (0), G major (1#), G major (1#), G minor (2b), C minor (3b), Bb phrygian (2b), F phrygian (1b), C minor (3b), G minor (2b), G major (1#), G major (1#), G major (1#), G major (1#), E minor (1#), G major (1#), D major (2#), B minor (2#), A minor (0), C major (0), F major (1b), D minor (1b), Bb major (2b), Eb major (3b), C# minor (4#), E major (4#), E minor (1#), G major (1#), F phrygian (1b), F phrygian (1b), C minor (3b), Bb phrygian (2b), Bb phrygian (2b), C minor (3b), C minor (3b), C minor (3b), C minor (3b), C minor (3b)
D minor (1b), A minor (0), A major (3#), A major (3#), C minor (3b), C minor (3b), A major (3#), A major (3#), C minor (3b), C minor (3b), A minor (0), D minor (1b), F phrygian (1b), C minor (3b), F minor (4b), D major (2#), G major (1#), G major (1#), G minor (2b), C minor (3b), F major (1b), Bb major (2b), C minor (3b), D minor (1b), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor mel (1b), D minor mel (1b), F major (1b), F major (1b), F minor (4b), C minor (3b), C minor (3b), F minor (4b), D major (2#), G minor (2b), D major (2#), D minor (1b), F phrygian (1b), C minor (3b), C minor (3b), C minor (3b), D minor (1b), F phrygian (1b), C minor (3b), F minor (4b), D minor mel (1b), A minor mel (0), D minor mel (1b), G minor (2b), C minor (3b), D minor (1b), F major (1b), C minor (3b), G minor (2b), G major (1#), G minor (2b), G major (1#), G minor (2b), G major (1#), D major (2#), D major (2#), E minor (1#), B minor mel (2#), D major (2#), F major (1b), F minor (4b), C minor (3b), A minor (0), A minor (0), E minor mel (1#), A minor (0), D major (2#), D minor (1b), E minor (1#), G minor (2b), F minor (4b), F minor (4b), F minor (4b), G minor (2b), F minor (4b), Ab aeolian (4b), F major (1b), C major (0), G major (1#), G minor (2b), F phrygian (1b), G minor (2b), G minor (2b), C minor (3b), C major (0), C major (0), A minor (0), D minor (1b), G minor (2b), G minor mel (2b), D minor mel (1b), D major (2#), E minor (1#), A minor (0), G minor (2b), C minor (3b), F minor (4b), C minor (3b), A minor (0), F# minor mel (3#), B minor (2#), A minor (0), A minor mel (0), C minor (3b), G minor (2b), Bb phrygian (2b), F minor (4b), F major (1b), F major (1b), Bb major (2b), G minor (2b), F minor (4b), C minor (3b), A minor (0), D minor (1b), G minor (2b), C minor (3b), F major (1b), Bb major (2b), Eb major (3b), F major (1b), F major (1b), D minor mel (1b), D minor (1b), F aeolian (1b), D minor blues (1b), D minor mel (1b), A minor mel (0), E minor mel (1#), G major (1#), C major (0), C minor (3b), D minor (1b), D minor (1b), A minor (0), Bb dorian (2b), G lydian (1#), Eb dorian (3b), G lydian (1#), Bb dorian (2b), Eb dorian (3b), C minor (3b), F minor (4b), F minor (4b), F minor (4b), Bb major (2b), C minor (3b), F minor (4b), C minor (3b), C major (0), F major (1b), F major (1b), F minor (4b), F major (1b), Bb major (2b), C minor (3b), G minor (2b), D minor (1b), A minor (0), A minor (0), A minor (0), E minor (1#), D minor (1b), D major (2#), D minor mel (1b), A minor (0), F major (1b), F minor (4b), D minor (1b), Bb major (2b), Eb major (3b), Ab major (4b), E major (4#), E minor (1#), D major (2#), D minor (1b), C minor (3b), C minor (3b), Eb aeolian (3b), Eb aeolian (3b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0)
E minor (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), E minor (1#), E major (4#), E major (4#), E minor (1#), C aeolian (0), F# minor (3#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), E minor (1#), E minor (1#), G major (1#), G minor (2b), C minor (3b), D minor (1b), F phrygian (1b), C minor (3b), G major (1#), G major (1#), E minor (1#), E minor (1#), C dorian (0), C dorian (0), C dorian (0), E minor mel (1#), B minor mel (2#), E minor mel (1#), G aeolian (1#), C aeolian (0), Bb aeolian (2b), E minor (1#), G# minor mel (5#), C# minor mel (4#), E major (4#), E minor (1#), G major (1#), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), D minor (1b), Bb major (2b), C# minor (4#), F# minor (3#), A minor (0), E minor (1#), G major (1#), G minor (2b), C minor (3b), D minor (1b), E minor (1#), C# minor (4#), C dorian (0), E minor (1#), A minor (0), A minor (0), G minor (2b), G major (1#), G major (1#), E minor mel (1#), E minor (1#), E major (4#), G aeolian (1#), C aeolian (0), Bb aeolian (2b), E minor (1#), A minor (0), A minor (0), E minor mel (1#), A minor (0), E minor (1#), D minor (1b), E minor (1#), G minor (2b), G minor (2b), C minor (3b), Bb phrygian (2b), G minor (2b), A minor (0), F# minor mel (3#), A minor (0), E minor (1#), G major (1#), G minor (2b), F phrygian (1b), G minor (2b), G minor (2b), C minor (3b), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), E minor mel (1#), E minor (1#), E minor (1#), G major (1#), C major (0), Eb aeolian (3b), C major (0), A minor (0), F# minor mel (3#), B minor (2#), A minor (0), A minor mel (0), C minor (3b), G minor (2b), G minor (2b), C minor (3b), A minor (0), D minor (1b), E minor (1#), C# minor mel (4#), F# minor (3#), E minor (1#), A minor (0), D minor (1b), G minor (2b), C minor (3b), D minor (1b), E minor (1#), C# minor mel (4#), G major (1#), G minor (2b), A minor (0), A minor (0), A minor (0), F# minor (3#), F# minor (3#), C# minor (4#), E major (4#), E minor (1#), G major (1#), C minor (3b), D minor (1b), D minor (1b), A minor (0), C# minor (4#), E major (4#), E minor (1#), E minor (1#), D minor (1b), F phrygian (1b), G minor (2b), G minor (2b), C minor (3b), F minor (4b), Bb major (2b), C minor (3b), F minor (4b), C major (0), G major (1#), G major (1#), G minor (2b), C minor (3b), A minor (0), D minor (1b), C minor (3b), G major (1#), G major (1#), E minor (1#), E minor (1#), A minor (0), E minor (1#), C dorian (0), E minor mel (1#), B minor (2#), E major (4#), C# minor mel (4#), G# minor mel (5#), F# major (6#), G# minor mel (5#), G# minor mel (5#), C# minor mel (4#), E major (4#), E minor (1#), E minor (1#), D minor (1b), C minor (3b), A minor (0), G minor (2b), C# minor mel (4#), E major (4#), E major (4#), E major (4#), E major (4#), E major (4#)
D minor mel (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E minor mel (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F major blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G major blues (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
D minor blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
E minor blues (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F dorian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G dorian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F phrygian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G phrygian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
F lydian (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G lydian (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
